timestamp,event,price
BTCUSDT,ENTER-SHORT,103344.73,31.84574410003806
BTCUSDT,AUTO-EXIT-SHORT,103881.27,50.2071645162519
BTCUSDT,ENTER-SHORT,103832.74,49.234588588593546
BTCUSDT,AUTO-EXIT-SHORT,104556.4,61.5848759112108
BTCUSDT,ENTER-LONG,104491.97,60.11416689966566
BTCUSDT,ENTER-SHORT,103411.06,37.82760124007303
BTCUSDT,AUTO-EXIT-SHORT,102612.36,29.059661673108565
BTCUSDT,ENTER-SHORT,102501.58,31.896193292211237
BTCUSDT,AUTO-EXIT-SHORT,101741.82,23.57317917009719
2025-11-05T01:47:36.254400+00:00,BTCUSDT,SHORT,100426.95
2025-11-05T17:06:08.954805+00:00,BTCUSDT,LONG,103041.01
2025-11-05T19:07:51.449351+00:00,BTCUSDT,LONG,103511.01
2025-11-06T13:23:18.354132+00:00,BTCUSDT,SHORT,102692.93
2025-11-06T15:20:53.934021+00:00,BTCUSDT,SHORT,102190.13
2025-11-06T16:06:02.546763+00:00,BTCUSDT,SHORT,101578.78
